   520.0 2.878E-06 2.599E-06 2.356E-06 2.161E-06 2.012E-06 1.897E-06 1.812E-06
   530.0 3.105E-06 2.772E-06 2.494E-06 2.276E-06 2.111E-06 1.985E-06 1.892E-06
   540.0 3.337E-06 2.947E-06 2.632E-06 2.391E-06 2.210E-06 2.073E-06 1.972E-06
   550.0 3.569E-06 3.120E-06 2.769E-06 2.505E-06 2.309E-06 2.161E-06 2.053E-06
   560.0 3.792E-06 3.287E-06 2.902E-06 2.617E-06 2.406E-06 2.248E-06 2.133E-06
   570.0 3.998E-06 3.443E-06 3.029E-06 2.724E-06 2.501E-06 2.334E-06 2.212E-06
   580.0 4.181E-06 3.585E-06 3.146E-06 2.826E-06 2.592E-06 2.417E-06 2.290E-06
   590.0 4.332E-06 3.708E-06 3.252E-06 2.920E-06 2.678E-06 2.498E-06 2.366E-06
   600.0 4.447E-06 3.811E-06 3.346E-06 3.007E-06 2.760E-06 2.575E-06 2.440E-06
   610.0 4.524E-06 3.891E-06 3.426E-06 3.085E-06 2.835E-06 2.649E-06 2.512E-06
   620.0 4.562E-06 3.948E-06 3.491E-06 3.154E-06 2.905E-06 2.718E-06 2.581E-06
   630.0 4.562E-06 3.983E-06 3.543E-06 3.213E-06 2.969E-06 2.784E-06 2.647E-06
   640.0 4.530E-06 3.997E-06 3.580E-06 3.264E-06 3.026E-06 2.845E-06 2.710E-06
   650.0 4.470E-06 3.992E-06 3.605E-06 3.306E-06 3.078E-06 2.903E-06 2.771E-06
   660.0 4.388E-06 3.971E-06 3.619E-06 3.340E-06 3.124E-06 2.956E-06 2.830E-06
   670.0 4.291E-06 3.938E-06 3.624E-06 3.368E-06 3.166E-06 3.006E-06 2.885E-06
   680.0 4.184E-06 3.896E-06 3.622E-06 3.389E-06 3.203E-06 3.054E-06 2.939E-06
   690.0 4.073E-06 3.848E-06 3.614E-06 3.407E-06 3.237E-06 3.098E-06 2.991E-06
   700.0 3.962E-06 3.798E-06 3.602E-06 3.421E-06 3.268E-06 3.141E-06 3.041E-06
   710.0 3.855E-06 3.747E-06 3.589E-06 3.433E-06 3.297E-06 3.182E-06 3.091E-06
