# Number of wavelengths (nwvl):
 158
# Number of radius (nsize):
   50
# Wavelength axis (wvl):
 0.399900E-05 0.416100E-05 0.432300E-05 0.448400E-05 0.464600E-05
 0.480800E-05 0.496900E-05 0.513100E-05 0.529200E-05 0.545400E-05
 0.561600E-05 0.577700E-05 0.593900E-05 0.610100E-05 0.626200E-05
 0.642400E-05 0.658500E-05 0.674700E-05 0.690900E-05 0.707000E-05
 0.723200E-05 0.739400E-05 0.755500E-05 0.771700E-05 0.787800E-05
 0.804000E-05 0.820200E-05 0.836300E-05 0.852500E-05 0.868600E-05
 0.884800E-05 0.901000E-05 0.917100E-05 0.933300E-05 0.949500E-05
 0.965600E-05 0.981800E-05 0.997900E-05 0.101400E-04 0.103000E-04
 0.104600E-04 0.106300E-04 0.107900E-04 0.109500E-04 0.111100E-04
 0.112700E-04 0.114300E-04 0.116000E-04 0.117600E-04 0.119200E-04
 0.120800E-04 0.122400E-04 0.124000E-04 0.125700E-04 0.127300E-04
 0.128900E-04 0.130500E-04 0.132100E-04 0.133700E-04 0.135400E-04
 0.137000E-04 0.138600E-04 0.140200E-04 0.141800E-04 0.143400E-04
 0.145000E-04 0.146700E-04 0.148300E-04 0.149900E-04 0.151500E-04
 0.153100E-04 0.154700E-04 0.156400E-04 0.158000E-04 0.159600E-04
 0.161200E-04 0.162800E-04 0.164400E-04 0.166100E-04 0.167700E-04
 0.169300E-04 0.170900E-04 0.172500E-04 0.174100E-04 0.175800E-04
 0.177400E-04 0.179000E-04 0.180600E-04 0.182200E-04 0.183800E-04
 0.185500E-04 0.187100E-04 0.188700E-04 0.190300E-04 0.191900E-04
 0.193500E-04 0.195200E-04 0.196800E-04 0.198400E-04 0.200000E-04
 0.246200E-04 0.292300E-04 0.338500E-04 0.384600E-04 0.430800E-04
 0.476900E-04 0.523100E-04 0.569200E-04 0.615400E-04 0.661500E-04
 0.707700E-04 0.753800E-04 0.800000E-04 0.846200E-04 0.892300E-04
 0.938500E-04 0.984600E-04 0.103100E-03 0.107700E-03 0.112300E-03
 0.116900E-03 0.121500E-03 0.126200E-03 0.130800E-03 0.135400E-03
 0.140000E-03 0.144600E-03 0.149200E-03 0.153800E-03 0.158500E-03
 0.163100E-03 0.167700E-03 0.172300E-03 0.176900E-03 0.181500E-03
 0.186200E-03 0.190800E-03 0.195400E-03 0.200000E-03 0.246900E-03
 0.293900E-03 0.340800E-03 0.387700E-03 0.434700E-03 0.481600E-03
 0.528500E-03 0.575500E-03 0.622400E-03 0.669300E-03 0.716200E-03
 0.763200E-03 0.810100E-03 0.857000E-03 0.904000E-03 0.950900E-03
 0.997800E-03 0.104500E-02 0.109200E-02
# Particle size axis (radius):
 0.100000E-05 0.113522E-05 0.128873E-05 0.146300E-05 0.166083E-05
 0.188541E-05 0.214036E-05 0.242978E-05 0.275834E-05 0.313133E-05
 0.355476E-05 0.403544E-05 0.458113E-05 0.520060E-05 0.590384E-05
 0.670217E-05 0.760845E-05 0.863729E-05 0.980525E-05 0.111311E-04
 0.126363E-04 0.143450E-04 0.162848E-04 0.184869E-04 0.209867E-04
 0.238246E-04 0.270462E-04 0.307035E-04 0.348553E-04 0.395685E-04
 0.449191E-04 0.509931E-04 0.578886E-04 0.657164E-04 0.746028E-04
 0.846907E-04 0.961428E-04 0.109144E-03 0.123902E-03 0.140657E-03
 0.159676E-03 0.181268E-03 0.205780E-03 0.233606E-03 0.265195E-03
 0.301055E-03 0.341765E-03 0.387979E-03 0.440442E-03 0.500000E-03
# Extinction coef. Qext (ep):
# Radius number     1
 0.361367E+00 0.198548E+00 0.145081E+01 0.586156E+00 0.449812E+00
 0.381026E+00 0.333588E+00 0.295822E+00 0.264603E+00 0.237860E+00
 0.214500E+00 0.194068E+00 0.175883E+00 0.159629E+00 0.145380E+00
 0.132407E+00 0.120850E+00 0.110476E+00 0.101065E+00 0.926161E-01
 0.855453E-01 0.782114E-01 0.719740E-01 0.663149E-01 0.612642E-01
 0.565861E-01 0.523286E-01 0.484256E-01 0.449519E-01 0.417743E-01
 0.387927E-01 0.360980E-01 0.336412E-01 0.313272E-01 0.292302E-01
 0.273251E-01 0.255109E-01 0.239282E-01 0.224014E-01 0.210188E-01
 0.197018E-01 0.184322E-01 0.173154E-01 0.162795E-01 0.153250E-01
 0.144239E-01 0.135604E-01 0.127205E-01 0.119881E-01 0.112734E-01
 0.106490E-01 0.100321E-01 0.943886E-02 0.885377E-02 0.943111E-02
 0.950424E-02 0.106874E-01 0.100454E-01 0.824615E-02 0.771256E-02
 0.790803E-02 0.782439E-02 0.889833E-02 0.780882E-02 0.100599E-01
 0.106045E-01 0.149550E-01 0.108889E+00 0.372987E+00 0.704071E+00
 0.334584E+00 0.275975E-01 0.458334E-01 0.683366E-02 0.584960E-02
 0.528905E-02 0.486995E-02 0.453524E-02 0.424863E-02 0.400349E-02
 0.379021E-02 0.359729E-02 0.342161E-02 0.326297E-02 0.311281E-02
 0.297373E-02 0.284391E-02 0.273248E-02 0.262096E-02 0.252281E-02
 0.241992E-02 0.232508E-02 0.223999E-02 0.215776E-02 0.207743E-02
 0.200144E-02 0.192793E-02 0.186146E-02 0.179554E-02 0.173382E-02
 0.729819E-03 0.362235E-03 0.199863E-03 0.119472E-03 0.751695E-04
 0.498151E-04 0.341272E-04 0.241572E-04 0.176552E-04 0.131218E-04
 0.986654E-05 0.757230E-03 0.297325E-02 0.179568E-01 0.903698E-02
 0.174236E-02 0.297186E-03 0.261019E-05 0.585947E-03 0.877623E-04
 0.700362E-04 0.131938E-05 0.223068E-04 0.162935E-03 0.733795E-03
 0.275064E-02 0.950347E-02 0.937699E-02 0.335597E-02 0.244057E-04
 0.532496E-06 0.746171E-04 0.718309E-03 0.119767E-02 0.933022E-03
 0.371076E-03 0.300471E-06 0.282599E-06 0.266715E-06 0.173814E-06
 0.138513E-06 0.122912E-06 0.115107E-06 0.110863E-06 0.108399E-06
 0.106912E-06 0.105921E-06 0.105298E-06 0.104854E-06 0.104560E-06
 0.104318E-06 0.104168E-06 0.104042E-06 0.103948E-06 0.103873E-06
 0.103827E-06 0.103750E-06 0.103703E-06
# Radius number     2
 0.509623E+00 0.258589E+00 0.214822E+01 0.852893E+00 0.648219E+00
 0.548117E+00 0.481007E+00 0.428662E+00 0.385941E+00 0.349537E+00
 0.317707E+00 0.289733E+00 0.264652E+00 0.242010E+00 0.221980E+00
 0.203530E+00 0.186918E+00 0.171858E+00 0.158052E+00 0.145539E+00
 0.135036E+00 0.123953E+00 0.114486E+00 0.105840E+00 0.980783E-01
 0.908422E-01 0.842209E-01 0.781173E-01 0.726685E-01 0.676616E-01
 0.629423E-01 0.586645E-01 0.547519E-01 0.510534E-01 0.476945E-01
 0.446362E-01 0.417150E-01 0.391651E-01 0.366974E-01 0.344599E-01
 0.323235E-01 0.302620E-01 0.284457E-01 0.267590E-01 0.252031E-01
 0.237325E-01 0.223210E-01 0.209472E-01 0.197483E-01 0.185767E-01
 0.175535E-01 0.165411E-01 0.155664E-01 0.146047E-01 0.150130E-01
